subject,session,task,stimulus_label,n_present_channels,dense_file,band_file,meta_file,n_kept_windows,n_dropped_windows,status
sub-02,ses-01,task-monkey1_run-02,Monkey 1,59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-monkey1_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-monkey1_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-monkey1_run-02/run_meta_master61_masked.json,45,15,ok
sub-02,ses-01,task-tp_run-01,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-01/run_meta_master61_masked.json,47,7,ok
sub-02,ses-01,task-tp_run-02,The Present,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-02/ses-01/task-tp_run-02/run_meta_master61_masked.json,38,14,ok
sub-03,ses-01,task-dme_run-01,Despicable Me (English),59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-01/run_meta_master61_masked.json,105,17,ok
sub-03,ses-01,task-dme_run-02,Despicable Me (English),58,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-dme_run-02/run_meta_master61_masked.json,99,19,ok
sub-03,ses-01,task-inscapes,Inscapes,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-inscapes/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-inscapes/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-inscapes/run_meta_master61_masked.json,135,17,ok
sub-03,ses-01,task-monkey1_run-01,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-01/run_meta_master61_masked.json,46,9,ok
sub-03,ses-01,task-monkey1_run-02,Monkey 1,60,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-monkey1_run-02/run_meta_master61_masked.json,49,10,ok
sub-03,ses-01,task-tp_run-01,The Present,59,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-01/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-01/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-01/run_meta_master61_masked.json,35,43,ok
sub-03,ses-01,task-tp_run-02,The Present,61,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-02/dense_psd_10s_2to30Hz_welch_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-02/bandpower_10s_delta_theta_alpha_beta_master61_masked.npz,/Users/hyung/data/natview_project/derived/natview_eeg_features_master61_masked_5s/sub-03/ses-01/task-tp_run-02/run_meta_master61_masked.json,49,8,ok
